GEOID,Total Population,Population 18 to 64,Total Households,Aggregate Income,% Group Quarters,Poverty Rate,% Near Poverty,% No Bachelors,Unemployment Rate,PCA Score,Percentile,Mobility Category
20091052005,2670,1798,1441,116305800,1.460674157,10.56456121,5.030743432,60.31847134,0.12642225,-0.78733908,44.65290807,Existing Mobility
20209043904,3104,1736,1119,67623200,0,10.08064516,18.49078341,79.03103709,14.02629931,2.212260039,94.7467167,Extremely Limited Mobility
20091052507,2988,1991,1484,327041700,0,4.570567554,3.465595178,31.90883191,4.289405685,-1.499519599,22.32645403,Existing Mobility
20091052907,4690,3059,1708,167111100,7.206823028,20.07899934,7.669519421,65.02109705,6.169568509,0.669875832,73.92120075,Limited Mobility
20091053201,2875,1637,1417,198187000,4.173913043,5.723472669,1.414790997,22.80058651,0.913520097,-2.176117555,5.440900563,Existing Mobility
20091053508,5981,3725,2067,292165000,0.083598061,6.308724832,1.798657718,50.95269382,0.882939334,-1.44182256,24.3902439,Existing Mobility
20091053301,5579,2559,2185,532498000,0,8.362641657,0,16.16541353,1.627486438,-2.246030271,4.127579737,Existing Mobility
20209044104,3516,2050,1603,100379500,2.87258248,16.38676845,5.648854962,67.48466258,6.318504191,0.372155259,69.41838649,Limited Mobility
20091053506,3830,2193,1389,192054000,0,6.520747834,2.325581395,36.37837838,6.82464455,-1.132442928,33.0206379,Existing Mobility
20091052506,1406,822,610,100611600,0.284495021,0,1.581508516,37.97653959,4.685714286,-1.720709537,16.88555347,Existing Mobility
20091053013,3016,2145,1471,159436600,0,1.398601399,6.853146853,41.34715026,1.341201717,-1.444767953,24.20262664,Existing Mobility
20091052415,3362,2395,1722,185454400,0,2.212943633,3.131524008,38.96103896,0.666666667,-1.851146886,13.69606004,Existing Mobility
20091050600,4657,2750,1871,266468100,0.708610694,1.6,0,39.86013986,4.664310954,-1.730902332,16.51031895,Existing Mobility
20091051904,6374,3798,2820,317753400,0,2.52764613,2.632964718,37.51909563,7.950756604,-1.176083417,32.08255159,Existing Mobility
20209040100,2655,1509,875,61209100,0,28.89330683,0.662690524,97.39625712,5.475504323,1.229950196,83.30206379,Very Limited Mobility
20209043700,2489,1592,788,59353200,0,12.75125628,13.37939698,93.49535382,5.224429728,1.364352811,86.30393996,Very Limited Mobility
20091050900,4748,2419,2080,481911400,1.600673968,4.547333609,3.431169905,13.87230133,1.33611691,-2.233416594,4.502814259,Existing Mobility
29095011702,1903,1387,866,50122100,0.157645822,23.79235761,15.57317952,88.90784983,6.367041199,2.14623098,94.18386492,Extremely Limited Mobility
29047021303,5808,3245,1902,417363600,0,1.664098613,0.801232666,29.99304106,0.656598818,-2.298662375,3.001876173,Existing Mobility
29095015200,3203,3034,2142,197920500,2.684982829,12.72048847,2.23880597,29.11290323,5.053883315,-1.164254991,32.64540338,Existing Mobility
29095010105,3807,1668,1797,202821900,3.073286052,7.212713936,2.139364303,34.52617628,0.988947062,-1.746183479,16.13508443,Existing Mobility
29095015600,3382,2300,1168,65828200,0,28.13043478,11.56521739,93.26303456,3.046357616,1.795219497,91.18198874,Extremely Limited Mobility
29037060305,4452,2635,1740,231447100,0,4.895635674,1.10056926,56.70628183,1.738778811,-1.353464893,27.95497186,Existing Mobility
